,Price,NumBedrooms,NumBathrooms,Floor_Space,Frontyard_space_in_ft,Bathroom_Level,Bedroom_Level,Primary_Bedroom_Level,Architectural Style,Number_Parking_Spaces
401,899000.0,3.0,3.0,1838.0,34.0,4,4,-1,3.0,6.0
402,895900.0,2.0,3.0,1897.0,36.18,4,4,4,3.0,0.0
403,873500.0,3.0,3.0,1907.0,36.18,4,4,4,3.0,0.0
404,849999.0,5.0,4.0,2296.0,58.57068322981366,0,4,2,0.0,0.0
405,779900.0,3.0,3.0,1839.2842264150943,58.57068322981366,2,-1,2,-1.0,1.0
406,729000.0,5.0,5.0,1839.2842264150943,58.57068322981366,-1,-1,4,-1.0,4.0
407,625000.0,2.0,2.0,1410.0,0.0,2,2,2,0.0,0.0
408,579900.0,4.0,2.0,1147.0,50.33,0,0,2,0.0,3.0
409,539900.0,3.0,2.0,989.69,29.6,4,4,4,3.0,0.0
410,388000.0,2.0,2.0,1045.0,58.57068322981366,2,2,2,7.0,0.0
411,1369900.0,4.0,4.0,2838.0,45.0,4,4,4,3.0,0.0
412,1175000.0,5.0,4.0,2465.0,32.0,0,4,4,3.0,6.0
413,999000.0,4.0,4.0,2479.0,39.8,4,6,4,3.0,0.0
414,899900.0,3.0,4.0,1839.2842264150943,58.57068322981366,-1,-1,4,-1.0,4.0
415,790000.0,3.0,3.0,0.0,80.0,0,4,-1,10.0,0.0
416,779900.0,3.0,3.0,1980.0,58.57068322981366,2,2,2,7.0,1.0
417,769900.0,2.0,2.0,1399.0,58.57068322981366,2,2,2,0.0,0.0
418,759900.0,2.0,2.0,1407.0,58.57068322981366,2,2,2,0.0,0.0
419,759000.0,3.0,2.0,1126.0,42.66,4,4,-1,8.0,0.0
420,699999.0,4.0,3.0,1714.0,27.71,2,6,4,3.0,0.0
421,639000.0,3.0,1.0,1839.2842264150943,58.57068322981366,-1,-1,-1,-1.0,3.0
422,549900.0,3.0,1.0,850.0,37.0,2,2,-1,0.0,0.0
423,359999.0,2.0,1.0,860.0,58.57068322981366,2,2,-1,7.0,0.0
424,359900.0,2.0,1.0,1005.23,0.0,2,2,2,7.0,1.0
425,3500000.0,0.0,1.0,1839.2842264150943,207.0,-1,-1,-1,-1.0,42.0
426,1799900.0,5.0,5.0,3900.0,65.58,4,4,4,3.0,5.0
427,1399900.0,6.0,1.0,5871.0,75.0,-1,-1,-1,-1.0,10.0
428,1289900.0,8.0,6.0,2971.0,40.18,0,4,4,3.0,0.0
429,979900.0,4.0,3.0,2208.0,36.85,2,4,4,3.0,4.0
430,929900.0,4.0,3.0,2095.0,36.85,4,4,4,3.0,4.0
431,855400.0,3.0,3.0,1271.0,34.0,2,4,4,3.0,0.0
432,799900.0,3.0,3.0,1659.0,34.0,2,4,4,3.0,4.0
433,799900.0,4.0,3.0,2200.0,31.82,4,4,4,3.0,0.0
434,789000.0,3.0,3.0,1632.0,36.0,2,4,4,3.0,4.0
435,699000.0,5.0,1.0,900.0,110.18,-1,-1,-1,-1.0,0.0
436,699000.0,5.0,3.0,900.0,110.18,5,2,-1,0.0,0.0
437,550000.0,4.0,2.0,1030.0,64.98,2,6,2,0.0,0.0
438,549999.0,4.0,1.0,1780.0,40.0,-1,-1,-1,-1.0,0.0
439,199900.0,1.0,1.0,1839.2842264150943,58.57068322981366,-1,-1,-1,-1.0,0.0
440,1.0,0.0,1.0,1839.2842264150943,44.0,-1,-1,-1,-1.0,0.0
441,749000.0,4.0,1.0,1839.2842264150943,58.57068322981366,1,1,-1,-1.0,3.0
442,1799900.0,4.0,5.0,3500.0,50.0,4,4,4,3.0,0.0
443,2499000.0,5.0,4.0,1839.2842264150943,58.57068322981366,-1,-1,4,-1.0,6.0
444,399500.0,1.0,1.0,1839.2842264150943,222.93,-1,-1,-1,-1.0,0.0
445,1998500.0,5.0,5.0,3472.0,63.02,2,4,4,3.0,4.0
446,979900.0,4.0,4.0,2200.0,40.1,4,4,4,3.0,0.0
447,959900.0,4.0,3.0,2040.0,40.0,4,4,4,3.0,0.0
448,749000.0,5.0,3.0,1521.0,30.0,2,4,4,3.0,3.0
449,739900.0,3.0,2.0,1596.0,38.6,-1,4,5,6.0,3.0
450,539900.0,3.0,1.0,1190.0,64.56,2,2,-1,1.0,0.0
451,899900.0,4.0,4.0,1855.0,40.0,2,4,4,3.0,0.0
452,474900.0,4.0,2.0,1450.0,58.0,2,2,-1,4.0,0.0
453,299900.0,1.0,1.0,973.0,58.57068322981366,2,2,-1,7.0,0.0
454,2989000.0,5.0,7.0,5482.0,81.82,4,4,4,3.0,12.0
455,1749000.0,6.0,5.0,3400.0,66.0,4,4,4,3.0,0.0
456,1489900.0,4.0,3.0,2675.0,114.22,4,4,4,3.0,7.0
457,1374900.0,3.0,3.0,2341.0,90.4,2,0,2,0.0,0.0
458,969500.0,4.0,3.0,1839.2842264150943,58.57068322981366,-1,-1,4,-1.0,4.0
459,899900.0,4.0,3.0,1957.0,32.0,2,4,4,3.0,0.0
460,899000.0,4.0,3.0,1980.0,36.21,2,4,4,3.0,6.0
461,879900.0,4.0,3.0,1949.0,32.0,2,4,4,3.0,3.0
462,879900.0,4.0,3.0,1957.0,32.0,4,4,4,3.0,0.0
463,829000.0,4.0,4.0,1664.81,31.0,4,0,4,3.0,3.0
464,769999.0,4.0,4.0,1510.0,40.0,4,0,4,3.0,4.0
465,749000.0,4.0,1.0,1300.0,69.0,2,2,-1,4.0,0.0
466,749000.0,4.0,1.0,1300.0,69.0,2,4,-1,4.0,0.0
467,699900.0,3.0,2.0,1179.0,44.0,-1,4,-1,8.0,0.0
468,624900.0,2.0,3.0,514.33,58.57068322981366,2,0,0,11.0,0.0
469,369900.0,2.0,2.0,815.0,0.0,2,2,2,7.0,0.0
470,189000.0,2.0,1.0,400.0,0.0,2,2,2,12.0,3.0
471,1099000.0,4.0,4.0,2194.0,41.0,0,4,4,3.0,4.0
472,999000.0,5.0,4.0,2301.0,42.56,2,4,4,3.0,0.0
473,899900.0,5.0,1.0,2072.0,63.0,-1,-1,-1,-1.0,0.0
474,799900.0,4.0,1.0,1418.7,61.0,-1,-1,-1,-1.0,0.0
475,759900.0,3.0,4.0,2162.0,0.0,2,4,4,3.0,4.0
476,529500.0,2.0,2.0,1360.0,58.57068322981366,2,2,2,7.0,0.0
477,324990.0,1.0,1.0,1839.2842264150943,58.57068322981366,-1,-1,-1,-1.0,0.0
478,319000.0,1.0,1.0,908.0,58.57068322981366,2,2,-1,7.0,0.0
479,679900.0,3.0,3.0,1802.0,58.57068322981366,-1,5,5,6.0,0.0
480,574000.0,3.0,4.0,1809.0,58.57068322981366,-1,5,5,11.0,0.0
481,554000.0,3.0,3.0,1628.0,58.57068322981366,5,6,6,11.0,0.0
482,409900.0,3.0,2.0,1192.0,58.57068322981366,4,4,4,3.0,1.0
483,849900.0,3.0,3.0,1839.2842264150943,58.57068322981366,-1,4,-1,-1.0,4.0
484,749000.0,4.0,3.0,1839.2842264150943,58.57068322981366,-1,-1,5,-1.0,4.0
485,729888.0,2.0,2.0,1560.0,58.57068322981366,2,2,2,7.0,0.0
486,599900.0,7.0,2.0,1839.2842264150943,58.57068322981366,2,2,-1,-1.0,2.0
487,418000.0,3.0,2.0,1839.2842264150943,58.57068322981366,2,-1,2,-1.0,1.0
488,310000.0,1.0,1.0,1839.2842264150943,58.57068322981366,-1,-1,-1,-1.0,1.0
489,1584900.0,4.0,4.0,3185.0,64.8,4,4,4,3.0,0.0
490,1499900.0,4.0,5.0,3300.0,50.0,4,4,4,3.0,0.0
491,999900.0,5.0,4.0,2134.0,36.0,2,4,4,3.0,4.0
492,919900.0,4.0,3.0,2495.0,36.1,2,4,4,3.0,4.0
493,899000.0,4.0,4.0,1707.0,36.25,4,0,4,3.0,0.0
494,850000.0,4.0,2.0,1839.2842264150943,58.57068322981366,-1,-1,4,-1.0,3.0
495,625000.0,6.0,2.0,1057.0,50.0,2,2,-1,0.0,2.0
496,599900.0,7.0,1.0,1858.28,28.0,-1,-1,-1,-1.0,2.0
497,577900.0,2.0,2.0,500.0,0.0,2,2,2,0.0,0.0
498,450000.0,3.0,1.0,1500.0,42.83,-1,-1,-1,-1.0,0.0
499,6000000.0,0.0,1.0,1839.2842264150943,351.0,-1,-1,-1,-1.0,121.0
500,1889000.0,5.0,5.0,3039.0,62.5,2,0,4,3.0,4.0
501,1599900.0,4.0,4.0,3126.02,74.67,2,2,2,0.0,0.0
502,1499900.0,2.0,3.0,2048.0,66.0,2,2,2,0.0,0.0
503,1190000.0,0.0,1.0,1839.2842264150943,239.0,-1,-1,-1,-1.0,9.0
504,1079900.0,4.0,4.0,2528.0,57.0,4,4,4,3.0,4.0
505,854900.0,3.0,3.0,1930.0,33.0,4,4,4,3.0,4.0
506,790000.0,4.0,1.0,1810.0,61.1,-1,-1,-1,-1.0,0.0
507,790000.0,4.0,3.0,1810.0,61.1,5,4,-1,3.0,0.0
508,599900.0,5.0,1.0,911.0,46.0,-1,-1,-1,-1.0,0.0
509,459000.0,5.0,2.0,1839.2842264150943,58.57068322981366,-1,-1,-1,-1.0,4.0
510,418000.0,3.0,2.0,1245.0,58.57068322981366,2,2,2,7.0,0.0
511,349000.0,1.0,1.0,894.0,58.57068322981366,-1,-1,-1,-1.0,0.0
512,99900.0,1.0,1.0,1839.2842264150943,58.57068322981366,-1,-1,-1,-1.0,0.0
513,1299900.0,4.0,3.0,2866.0,65.44,2,4,4,3.0,0.0
514,1095000.0,4.0,3.0,2316.0,40.0,2,4,4,3.0,0.0
515,899900.0,5.0,3.0,726.5,42.5,5,6,-1,0.0,0.0
516,825000.0,3.0,4.0,2058.0,40.0,2,4,4,3.0,0.0
517,849000.0,3.0,3.0,1839.2842264150943,58.57068322981366,4,4,-1,-1.0,6.0
518,789000.0,0.0,1.0,1839.2842264150943,23.82,-1,-1,-1,-1.0,3.0
519,779000.0,3.0,3.0,1400.0,32.5,4,4,4,5.0,0.0
520,760000.0,6.0,3.0,1839.2842264150943,58.57068322981366,0,2,-1,-1.0,3.0
521,760000.0,7.0,3.0,1839.2842264150943,58.57068322981366,-1,-1,-1,-1.0,4.0
522,749900.0,5.0,1.0,1442.0,50.21,-1,-1,-1,-1.0,0.0
523,699900.0,5.0,2.0,1839.2842264150943,58.57068322981366,-1,4,-1,-1.0,7.0
524,449900.0,2.0,2.0,1152.0,35.42,2,2,2,0.0,0.0
525,399900.0,2.0,2.0,886.0,58.57068322981366,2,2,2,7.0,0.0
526,1200000.0,1.0,1.0,1839.2842264150943,149.0,-1,-1,-1,-1.0,0.0
527,599900.0,5.0,3.0,1070.0,49.11,5,6,-1,4.0,0.0
528,574900.0,5.0,2.0,1110.0,50.0,2,2,-1,0.0,0.0
529,549900.0,4.0,1.0,1620.0,47.27,-1,-1,-1,-1.0,5.0
530,399900.0,2.0,1.0,693.0,40.0,2,2,-1,0.0,0.0
